timestamp,target_x,target_y,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y
1749232717.1891165,220,140,889,486,1057,479
1749232717.3449595,220,140,881,485,1055,479
1749232717.5008874,220,140,890,485,1066,477
1749232717.6565757,220,140,885,485,1067,477
1749232717.8284967,220,140,896,483,1069,478
1749232717.9844894,220,140,887,485,1051,478
1749232718.140485,220,140,896,486,1059,477
1749232718.29514,220,140,887,485,1069,479
1749232718.4511197,220,140,889,484,1067,477
1749232718.6077645,220,140,886,485,1060,479
1749232718.7661502,220,140,884,485,1067,478
1749232718.917346,220,140,886,485,1061,479
1749232719.0778475,220,140,885,485,1061,479
1749232719.2333395,220,140,895,485,1058,478
1749232719.398087,220,140,885,484,1068,478
1749232719.5507193,220,140,885,485,1058,478
1749232719.7050028,220,140,887,485,1065,478
1749232719.856274,220,140,887,484,1048,477
1749232720.0130749,220,140,877,485,1054,478
1749232720.168947,220,140,883,485,1055,478
1749232720.3210278,220,140,892,485,1054,478
1749232720.4763389,220,140,893,487,1057,473
1749232720.6298025,220,140,887,480,1070,475
1749232720.781493,220,140,888,482,1062,480
1749232720.940284,220,140,900,481,1061,474
1749232721.0946374,220,140,887,481,1065,476
1749232721.24464,220,140,892,483,1067,478
1749232721.4086468,960,140,876,488,1066,477
1749232721.5581343,960,140,875,487,1066,476
1749232721.7144768,960,140,877,483,1067,477
1749232721.8708515,960,140,892,485,1065,471
1749232722.0285215,960,140,891,478,1066,474
1749232722.1785135,960,140,882,481,1055,470
1749232722.345038,960,140,891,479,1066,472
1749232722.5062914,960,140,882,479,1048,468
1749232722.6616845,960,140,882,481,1056,470
1749232722.8155065,960,140,876,481,1067,473
1749232722.9562337,960,140,882,484,1047,477
1749232723.1233723,960,140,891,481,1056,472
1749232723.2785242,960,140,883,486,1065,476
1749232723.4334817,960,140,881,484,1055,474
1749232723.5902596,960,140,876,484,1055,474
1749232723.750542,960,140,881,485,1055,476
1749232723.91062,960,140,873,482,1044,477
1749232724.0667274,960,140,874,481,1044,477
1749232724.2227857,960,140,875,486,1063,476
1749232724.3771226,960,140,882,481,1055,479
1749232724.5298362,960,140,892,482,1065,476
1749232724.6915748,960,140,890,480,1056,472
1749232724.8504734,960,140,891,482,1063,471
1749232725.008016,960,140,891,483,1067,476
1749232725.1646209,960,140,894,495,1060,491
1749232725.4733872,960,140,883,487,1060,479
1749232725.6347654,1760,140,883,481,1064,476
1749232725.7952225,1760,140,885,482,1054,475
1749232725.950684,1760,140,890,483,1053,473
1749232726.1050336,1760,140,875,479,1065,473
1749232726.2616594,1760,140,876,478,1046,472
1749232726.4193022,1760,140,872,482,1045,473
1749232726.5613492,1760,140,878,483,1054,476
1749232726.7283263,1760,140,878,484,1042,475
1749232726.8844128,1760,140,878,482,1062,475
1749232727.0363002,1760,140,887,481,1062,475
1749232727.1873186,1760,140,881,479,1060,475
1749232727.341791,1760,140,896,497,1060,493
1749232727.506294,1760,140,901,494,1065,492
1749232727.6588159,1760,140,908,492,1074,493
1749232727.817214,1760,140,908,478,1067,475
1749232727.968984,1760,140,889,478,1072,477
1749232728.127556,1760,140,894,478,1072,474
1749232728.2798276,1760,140,907,473,1056,470
1749232728.4278038,1760,140,901,471,1066,473
1749232728.5865052,1760,140,902,474,1085,469
1749232728.7432778,1760,140,898,473,1082,471
