timestamp,target_x,target_y,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y
1749234739.794476,180,100,911,470,1058,469
1749234739.9602847,180,100,912,469,1053,470
1749234740.1096272,180,100,914,471,1060,470
1749234740.2696722,180,100,922,471,1054,470
1749234740.427881,180,100,914,471,1067,475
1749234740.579262,180,100,914,471,1065,472
1749234740.7459507,180,100,913,471,1065,474
1749234740.9063177,180,100,914,471,1061,472
1749234741.0627222,180,100,915,471,1048,472
1749234741.3741925,180,100,916,471,1057,473
1749234742.3071897,180,100,922,469,1054,469
1749234742.4615648,180,100,915,471,1056,474
1749234742.623467,180,100,909,475,1062,473
1749234742.7817547,180,100,917,471,1054,472
1749234742.9379992,180,100,916,471,1054,472
1749234743.1065707,180,100,914,473,1041,473
1749234743.258229,180,100,918,473,1040,472
1749234743.4165335,180,100,908,477,1050,475
1749234743.5725322,180,100,906,474,1053,471
1749234743.7264411,180,100,910,473,1051,473
1749234743.8821983,180,100,908,472,1048,473
1749234744.0535078,960,100,894,476,1044,474
1749234744.2097056,960,100,899,478,1046,477
1749234744.361106,960,100,897,494,1025,492
1749234744.5089571,960,100,896,497,1032,494
1749234744.6624885,960,100,887,488,1033,485
