timestamp,target_x,target_y,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y
1749055197.4111557,192,108,910,377,1093,398
1749055197.8237305,192,108,930,387,1103,408
1749055198.1884503,192,108,909,407,1114,427
1749055198.5112925,192,108,925,420,1102,441
1749055198.8299694,192,108,903,444,1118,463
1749055199.1340897,192,108,901,461,1131,477
1749055199.4321952,192,108,923,455,1129,473
1749055199.7297206,192,108,918,449,1120,465
1749055200.029836,192,108,918,448,1118,461
1749055200.3351908,192,108,904,451,1123,467
1749055200.6433222,192,108,903,449,1117,459
1749055200.9450455,192,108,901,450,1126,466
1749055201.2799907,192,108,894,452,1114,457
1749055201.634999,192,108,895,451,1125,465
1749055201.985094,960,108,917,450,1125,466
1749055202.351859,960,108,898,451,1124,466
1749055202.7154772,960,108,900,450,1117,460
1749055203.1358247,960,108,912,452,1116,460
1749055203.4796906,960,108,900,451,1117,457
1749055203.7968342,960,108,916,443,1094,456
1749055204.1046047,960,108,897,446,1094,456
1749055204.4093015,960,108,908,447,1119,459
1749055204.718232,960,108,896,451,1118,460
1749055205.0272133,960,108,899,449,1095,456
1749055205.330664,960,108,893,450,1133,461
1749055205.942158,960,108,917,595,1141,594
1749055206.5590575,1728,108,873,470,1078,455
1749055206.8703413,1728,108,865,365,1074,363
1749055207.1846766,1728,108,861,366,1037,366
1749055207.5048914,1728,108,868,389,1043,390
1749055207.8925517,1728,108,872,393,1036,391
1749055208.2727203,1728,108,857,398,1028,395
1749055208.6116865,1728,108,866,397,1036,397
1749055208.9231062,1728,108,868,397,1049,403
1749055209.2316551,1728,108,861,401,1041,399
1749055209.5384822,1728,108,870,398,1053,404
1749055209.8864703,1728,108,877,397,1033,396
1749055210.2203987,1728,108,874,394,1023,396
1749055210.5360925,1728,108,871,397,1045,400
1749055210.8595498,1728,108,863,400,1045,400
1749055211.1703773,192,540,863,400,1054,402
1749055211.4770224,192,540,865,396,1028,398
1749055211.7930179,192,540,863,400,1019,404
1749055212.1155562,192,540,868,400,1048,402
1749055212.4301438,192,540,877,398,1055,403
1749055212.7911682,192,540,865,402,1035,401
1749055213.1600883,192,540,876,400,1063,406
1749055213.491579,192,540,871,400,1050,403
1749055213.8082635,192,540,879,399,1051,404
1749055214.1157796,192,540,878,399,1049,404
1749055214.4226406,192,540,878,400,1057,408
1749055214.7880127,192,540,871,403,1057,408
1749055215.15921,192,540,870,405,1050,404
1749055215.482365,192,540,881,403,1064,408
1749055215.7992022,960,540,874,405,1062,408
1749055216.1138725,960,540,876,403,1061,411
1749055216.4292595,960,540,886,404,1057,412
1749055216.7521691,960,540,885,406,1024,411
1749055217.0717132,960,540,873,405,1057,409
1749055217.3820648,960,540,879,406,1051,410
1749055217.713925,960,540,872,408,1053,409
1749055218.117187,960,540,881,406,1058,413
1749055218.4526098,960,540,886,405,1051,409
1749055218.77837,960,540,873,410,1052,407
1749055219.0881493,960,540,881,406,1045,408
1749055219.3995912,960,540,872,409,1052,409
1749055219.7009916,960,540,888,406,1051,409
1749055220.005467,960,540,869,409,1042,409
1749055220.341507,1728,540,887,406,1050,409
1749055220.6480625,1728,540,870,410,1051,413
1749055220.9739983,1728,540,872,406,1055,410
1749055221.2912426,1728,540,884,406,1045,410
1749055221.6103904,1728,540,871,406,1045,411
1749055221.91966,1728,540,872,406,1054,413
1749055222.2240574,1728,540,876,407,1049,410
1749055222.5303311,1728,540,886,406,1054,410
1749055222.8845193,1728,540,873,410,1053,412
1749055223.2480452,1728,540,874,406,1053,410
1749055223.5658479,1728,540,876,407,1062,415
1749055223.8757694,1728,540,879,391,1046,400
1749055224.183662,1728,540,879,390,1045,395
1749055224.4899476,1728,540,873,394,1046,392
1749055224.9290807,192,972,879,393,1053,398
1749055225.2684577,192,972,878,398,1050,402
1749055225.6110442,192,972,877,400,1051,407
1749055225.9634845,192,972,879,407,1019,415
1749055226.2910178,192,972,874,404,1015,412
1749055226.6073413,192,972,863,405,1043,410
1749055226.9304597,192,972,871,407,1044,410
1749055227.2392528,192,972,871,405,1050,411
1749055227.5441215,192,972,881,407,1031,413
1749055227.9141111,192,972,875,407,1049,413
1749055228.3061194,192,972,902,406,1065,413
1749055228.633305,192,972,875,412,1056,414
1749055228.9500334,192,972,872,411,1030,415
1749055229.2712142,960,972,883,418,1050,423
1749055229.584102,960,972,895,447,1078,450
1749055229.9057493,960,972,912,471,1082,470
1749055230.223114,960,972,904,487,1086,486
1749055230.5623012,960,972,905,482,1076,482
1749055230.873904,960,972,923,469,1101,472
1749055231.1882498,960,972,987,448,1139,456
1749055231.8042862,960,972,765,491,947,460
1749055232.1062682,960,972,735,537,935,510
1749055232.7206936,960,972,797,665,998,628
1749055233.4438138,960,972,842,554,1024,543
1749055233.7671275,1728,972,980,538,1172,545
1749055234.1029794,1728,972,998,488,1179,509
1749055234.4684482,1728,972,929,522,1133,523
