timestamp,target_x,target_y,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y
1749236260.2326133,180,100,881,430,1091,427
1749236260.400573,180,100,892,431,1064,421
1749236260.5615056,180,100,892,432,1073,423
1749236260.7196035,180,100,881,431,1092,429
1749236260.8916352,180,100,893,431,1074,422
1749236261.056577,180,100,892,432,1083,421
1749236261.2214427,180,100,909,428,1074,424
1749236261.38133,180,100,892,431,1061,425
1749236261.5315557,180,100,891,431,1073,423
1749236261.7006629,180,100,891,433,1073,424
1749236261.8686182,180,100,891,435,1082,420
1749236262.0216453,180,100,891,432,1073,427
1749236262.206475,180,100,904,435,1086,427
1749236262.3812225,180,100,886,432,1062,423
1749236262.5714586,180,100,886,431,1091,428
1749236262.756672,180,100,885,432,1085,429
1749236262.9216208,180,100,900,432,1090,426
1749236263.1061785,180,100,899,432,1073,425
1749236263.2911334,180,100,900,432,1073,425
1749236263.4712722,180,100,899,432,1073,426
1749236263.6413186,180,100,884,433,1090,428
1749236263.8062396,180,100,884,432,1067,430
1749236263.9792757,180,100,884,432,1073,428
1749236264.1417024,180,100,883,433,1088,426
1749236264.306403,180,100,885,432,1073,425
1749236264.478008,960,100,898,433,1089,428
1749236264.662457,960,100,890,433,1072,426
1749236264.8565884,960,100,870,435,1071,425
1749236265.0283763,960,100,888,434,1061,427
1749236265.191758,960,100,904,433,1061,426
1749236265.375017,960,100,888,433,1070,425
1749236265.5415056,960,100,869,435,1081,427
1749236265.7009463,960,100,888,433,1069,427
1749236265.891379,960,100,887,432,1071,427
1749236266.0609143,960,100,888,433,1070,423
1749236266.255346,960,100,889,433,1071,429
1749236266.4226484,960,100,903,433,1073,428
1749236266.5815394,960,100,888,433,1079,421
1749236266.7564163,960,100,903,430,1070,424
1749236266.9190032,960,100,887,433,1070,424
1749236267.0716655,960,100,887,435,1069,429
1749236267.26424,960,100,887,434,1068,425
1749236267.420744,960,100,886,434,1069,424
1749236267.591517,960,100,887,436,1071,426
1749236267.7786498,960,100,888,435,1070,427
1749236267.971422,960,100,888,434,1082,429
1749236268.1245654,960,100,902,432,1072,425
1749236268.3391786,960,100,888,434,1061,428
1749236268.5215995,960,100,889,436,1070,425
1749236268.731725,1760,100,888,433,1087,428
1749236268.919237,1760,100,889,433,1071,426
1749236269.1223912,1760,100,887,432,1076,427
1749236269.3115604,1760,100,869,433,1067,429
1749236269.4915721,1760,100,871,434,1062,429
1749236269.6763496,1760,100,869,432,1061,429
1749236269.8914316,1760,100,869,432,1068,430
1749236270.0914955,1760,100,870,433,1053,430
1749236270.27642,1760,100,871,432,1061,429
1749236270.4715724,1760,100,877,433,1062,429
1749236270.656544,1760,100,894,435,1081,423
1749236270.867451,1760,100,871,434,1063,430
1749236271.0215225,1760,100,871,433,1084,424
1749236271.193182,1760,100,872,433,1056,432
1749236271.3651226,1760,100,872,432,1063,431
1749236271.5313773,1760,100,873,433,1057,432
1749236271.6915913,1760,100,890,433,1084,424
1749236271.8561332,1760,100,891,432,1071,432
1749236272.0215507,1760,100,874,432,1075,429
1749236272.1945126,1760,100,873,434,1079,428
1749236272.3555605,1760,100,874,432,1057,432
1749236272.5233607,1760,100,874,432,1057,431
1749236272.6827657,1760,100,880,434,1056,432
1749236272.864362,1760,100,890,433,1085,427
1749236273.032234,180,540,872,434,1095,422
1749236273.219059,180,540,872,434,1064,431
1749236273.3757036,180,540,894,438,1086,431
1749236273.5446324,180,540,904,441,1097,437
1749236273.7351289,180,540,897,440,1089,434
1749236273.9060946,180,540,877,434,1084,437
1749236274.081804,180,540,884,438,1076,436
1749236274.25099,180,540,873,442,1088,437
1749236274.411347,180,540,862,444,1082,441
1749236274.5914474,180,540,877,440,1089,434
1749236274.783034,180,540,867,441,1084,438
1749236274.9562974,180,540,896,437,1090,434
1749236275.1316133,180,540,887,442,1079,436
1749236275.305061,180,540,881,438,1091,436
1749236275.4773724,180,540,876,442,1098,436
1749236275.6775572,180,540,900,439,1091,434
