timestamp,target_x,target_y,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y
1749232660.262298,220,140,895,432,1067,431
1749232660.4260337,220,140,898,432,1072,433
1749232660.5724564,220,140,900,434,1074,434
1749232660.7305844,220,140,917,438,1076,436
1749232660.9063907,220,140,899,437,1072,436
1749232661.0616333,220,140,899,437,1071,435
1749232661.2278728,220,140,913,437,1072,434
1749232661.386325,220,140,915,434,1074,434
1749232661.5447106,220,140,904,431,1071,437
1749232661.7063038,220,140,903,432,1076,433
1749232661.8573277,220,140,911,432,1066,427
1749232662.0151021,220,140,916,433,1066,433
1749232662.200533,220,140,897,432,1084,432
1749232662.3561418,220,140,901,432,1082,433
