timestamp,target_x,target_y,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y
1749235720.3465564,180,100,897,466,1064,466
1749235720.5037692,180,100,905,465,1050,466
1749235720.6571894,180,100,897,466,1059,466
1749235720.8134665,180,100,907,467,1060,466
1749235720.9652953,180,100,905,460,1063,459
1749235721.130044,180,100,905,460,1068,462
1749235721.2961247,180,100,905,460,1068,461
1749235721.451266,180,100,905,461,1068,462
1749235721.6131291,180,100,901,463,1065,466
1749235721.7614262,180,100,901,464,1065,466
1749235721.9242866,180,100,909,465,1056,466
1749235722.077104,180,100,909,465,1048,465
1749235722.2357864,180,100,901,465,1058,466
1749235722.389611,180,100,911,466,1057,466
1749235722.550756,180,100,909,465,1057,466
1749235722.7060723,180,100,911,465,1064,467
1749235722.863057,180,100,911,467,1066,468
1749235723.0182245,180,100,911,467,1057,467
1749235723.1754258,180,100,903,466,1065,466
1749235723.3322885,180,100,912,466,1064,466
1749235723.4871163,180,100,896,469,1065,467
1749235723.6508055,180,100,903,467,1066,466
1749235723.8065374,180,100,904,466,1066,465
1749235723.9617014,180,100,913,466,1066,467
1749235724.1212535,180,100,913,466,1074,471
1749235724.2792246,180,100,914,467,1058,467
1749235724.434665,180,100,905,465,1059,467
1749235724.596645,960,100,914,467,1077,471
1749235724.7509196,960,100,907,466,1068,468
1749235724.9065893,960,100,915,467,1069,469
1749235725.0598466,960,100,906,466,1067,464
1749235725.2133431,960,100,915,465,1060,468
1749235725.3795578,960,100,914,464,1055,463
1749235725.5465806,960,100,905,464,1062,461
1749235725.7066839,960,100,915,461,1062,461
1749235725.8631291,960,100,906,462,1062,462
1749235726.0250766,960,100,906,465,1062,459
1749235726.188352,960,100,898,467,1063,461
1749235726.3379142,960,100,899,467,1065,459
1749235726.5064256,960,100,905,464,1069,465
1749235726.6661217,960,100,915,465,1068,469
1749235726.817375,960,100,906,465,1069,468
1749235726.9723406,960,100,905,465,1078,470
1749235727.129,960,100,906,466,1077,470
1749235727.2962265,960,100,914,465,1061,465
1749235727.451085,960,100,898,468,1063,469
1749235727.6063335,960,100,905,466,1055,468
1749235727.7638109,960,100,915,465,1074,468
1749235727.9374442,960,100,905,467,1069,469
1749235728.0908782,960,100,905,467,1068,468
1749235728.2565837,960,100,906,466,1069,468
1749235728.413347,960,100,915,466,1067,464
1749235728.5671482,960,100,915,465,1068,465
1749235728.731216,960,100,915,466,1074,466
1749235728.893294,1760,100,906,466,1069,468
1749235729.0565746,1760,100,915,465,1068,464
1749235729.2115357,1760,100,915,466,1057,469
1749235729.3745687,1760,100,915,465,1068,465
1749235729.5325308,1760,100,902,464,1066,464
1749235729.6967406,1760,100,901,462,1055,466
1749235729.8563316,1760,100,901,463,1054,465
1749235730.013173,1760,100,901,464,1055,465
1749235730.163335,1760,100,900,467,1060,467
1749235730.3257973,1760,100,898,466,1058,468
1749235730.482818,1760,100,916,464,1078,471
1749235730.642296,1760,100,915,464,1070,468
1749235730.8012211,1760,100,915,465,1070,467
1749235730.9607344,1760,100,927,464,1069,472
1749235731.112465,1760,100,934,464,1082,464
1749235731.2691078,1760,100,936,463,1081,466
1749235731.4277685,1760,100,899,468,1071,466
1749235731.5845928,1760,100,899,467,1071,468
1749235731.7426999,1760,100,900,468,1064,465
1749235731.9053319,1760,100,915,464,1069,467
1749235732.0632007,1760,100,905,468,1060,470
1749235732.2141767,1760,100,912,477,1058,478
1749235732.370241,1760,100,896,469,1064,467
1749235732.5266345,1760,100,903,466,1059,466
1749235732.6824913,1760,100,901,468,1057,467
1749235732.8415363,1760,100,905,472,1059,470
1749235733.0008569,1760,100,873,479,1045,481
1749235733.1653879,180,540,897,477,1050,478
1749235733.3109534,180,540,897,468,1051,472
1749235733.4814837,180,540,897,459,1060,467
1749235733.627271,180,540,882,462,1037,462
