timestamp,target_x,target_y,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y
1749230571.036669,192,108,906,472,1084,465
1749230571.045325,192,108,916,473,1093,465
1749230571.066123,192,108,924,471,1083,468
1749230571.2416697,192,108,911,476,1059,467
1749230571.2753248,192,108,927,471,1052,468
1749230571.3386939,192,108,927,469,1093,472
1749230571.3716333,192,108,914,469,1085,460
1749230571.4054036,192,108,900,470,1071,462
1749230571.435712,192,108,913,472,1068,459
1749230571.5168078,192,108,915,470,1053,473
1749230571.642588,192,108,916,474,1089,468
1749230571.6769648,192,108,931,472,1084,468
1749230571.707261,192,108,929,473,1080,468
1749230571.7421236,192,108,928,475,1078,468
1749230571.7734184,192,108,928,478,1078,468
1749230571.8057206,192,108,929,475,1079,468
1749230571.8378127,192,108,904,478,1082,468
1749230571.8701138,192,108,933,474,1084,468
1749230571.9228997,192,108,914,473,1088,468
1749230571.9538798,192,108,921,474,1092,468
1749230571.9799726,192,108,887,474,1095,468
1749230572.241181,192,108,908,473,1059,461
1749230572.2698944,192,108,910,472,1061,461
1749230572.3199308,192,108,909,473,1063,461
1749230572.609812,192,108,923,470,1074,463
1749230572.6672993,192,108,921,473,1065,463
1749230572.7162576,192,108,922,473,1073,464
1749230572.7880633,192,108,921,472,1071,465
1749230572.8471525,192,108,920,472,1058,466
1749230572.9111714,192,108,918,470,1071,466
1749230572.9423862,192,108,916,468,1057,467
1749230572.9748592,192,108,916,468,1070,467
1749230573.2770145,192,108,921,469,1073,467
1749230573.467312,192,108,920,469,1073,469
1749230574.140593,192,108,924,474,1051,466
1749230574.2381103,960,108,925,474,1060,468
1749230574.2711525,960,108,922,472,1051,468
1749230574.5121267,960,108,919,469,1059,469
1749230574.5430546,960,108,918,469,1060,469
1749230574.5732336,960,108,926,474,1066,468
1749230574.604756,960,108,918,469,1074,468
1749230574.639496,960,108,918,469,1068,470
1749230574.6684954,960,108,919,469,1067,469
1749230574.7180827,960,108,919,469,1067,469
1749230574.7835445,960,108,918,469,1062,469
1749230574.8138068,960,108,919,469,1061,469
1749230574.8456795,960,108,918,469,1061,470
1749230574.8793974,960,108,918,469,1061,467
1749230574.910217,960,108,918,470,1073,467
1749230574.9387937,960,108,918,469,1070,470
1749230575.2788048,960,108,920,469,1066,471
1749230575.4357536,960,108,922,472,1070,468
1749230575.648293,960,108,906,471,1068,460
1749230575.7737308,960,108,892,470,1097,468
1749230575.8033583,960,108,918,472,1092,468
1749230575.8420334,960,108,933,478,1086,468
1749230575.8697107,960,108,929,482,1076,468
1749230575.916925,960,108,928,472,1073,468
1749230575.9512124,960,108,921,478,1060,467
1749230575.9832284,960,108,916,471,1056,468
1749230576.079049,960,108,906,470,1096,468
1749230576.112485,960,108,906,473,1092,468
1749230576.1417804,960,108,906,476,1088,468
1749230576.1720662,960,108,904,477,1072,468
1749230576.2123492,960,108,901,477,1068,469
1749230576.2425144,960,108,894,477,1078,468
1749230576.269982,960,108,896,479,1075,468
1749230576.322257,960,108,896,477,1075,469
1749230576.3559506,960,108,889,478,1074,468
1749230576.380144,960,108,890,479,1072,468
1749230576.4123397,960,108,894,480,1073,468
1749230576.4445715,960,108,893,478,1072,468
1749230576.4816208,960,108,891,479,1062,468
1749230576.5154657,960,108,892,479,1077,468
1749230576.5431876,960,108,897,480,1078,468
1749230576.572691,960,108,898,480,1080,468
1749230576.6069696,960,108,897,478,1082,468
1749230576.640231,960,108,901,480,1085,468
1749230576.6689227,960,108,906,480,1089,468
1749230576.7173302,960,108,911,478,1075,465
1749230576.7830849,960,108,924,476,1062,468
1749230576.8112502,960,108,937,475,1076,468
1749230576.8770037,960,108,888,481,1067,461
1749230576.9114676,960,108,898,477,1070,463
1749230576.9410634,960,108,913,479,1078,465
1749230577.0367541,960,108,913,469,1067,466
1749230577.1147115,960,108,912,475,1069,477
1749230577.149473,960,108,922,468,1089,477
1749230577.2129045,960,108,913,471,1070,463
1749230577.244001,960,108,923,469,1060,465
1749230577.2753315,960,108,932,480,1085,464
1749230577.341294,960,108,890,481,1052,476
1749230577.3715827,960,108,913,470,1047,474
1749230577.4050007,960,108,931,484,1072,468
1749230577.4371626,960,108,912,475,1043,473
1749230577.468654,960,108,922,468,1046,474
1749230577.5160456,960,108,936,483,1083,467
1749230577.582301,960,108,912,475,1099,469
1749230577.6432714,960,108,893,483,1046,475
1749230577.6739354,960,108,913,475,1060,458
1749230577.7078435,960,108,930,482,1061,458
1749230577.7392373,960,108,924,484,1072,468
1749230577.7697482,960,108,911,475,1050,476
1749230577.8017998,960,108,912,473,1072,467
1749230577.835075,960,108,931,484,1072,468
1749230577.8672645,960,108,921,467,1053,478
1749230577.9165506,960,108,915,471,1062,458
1749230577.949311,960,108,921,467,1051,476
1749230577.9784067,960,108,917,467,1061,458
1749230578.1052842,960,108,934,480,1072,468
1749230578.1394181,960,108,930,484,1096,468
1749230578.1709108,960,108,930,484,1062,458
1749230578.2010167,960,108,912,473,1051,476
1749230578.236062,960,108,934,480,1049,477
1749230578.3482063,1728,108,911,475,1062,458
1749230578.4444587,1728,108,917,471,1085,470
1749230578.4781713,1728,108,915,473,1046,474
1749230578.5069687,1728,108,922,468,1046,474
1749230578.5448194,1728,108,911,467,1061,458
1749230578.6390057,1728,108,935,483,1047,474
1749230578.6688726,1728,108,913,471,1048,474
1749230578.7222428,1728,108,896,471,1058,459
