timestamp,target_x,target_y,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y
1749230446.607147,192,108,923,521,1074,515
1749230446.6242638,192,108,923,521,1080,515
1749230446.6334798,192,108,924,522,1074,515
1749230446.644751,192,108,923,521,1072,515
1749230446.666301,192,108,923,521,1071,516
1749230446.70094,192,108,923,522,1077,515
1749230446.7534564,192,108,923,521,1071,516
1749230446.7850535,192,108,923,520,1074,515
1749230446.8126032,192,108,924,522,1072,515
1749230446.8492837,192,108,923,521,1071,516
1749230446.8761299,192,108,923,521,1071,515
1749230446.908265,192,108,923,520,1071,515
1749230446.9458263,192,108,923,520,1072,514
1749230446.9707751,192,108,924,522,1074,515
1749230447.0061588,192,108,923,521,1080,514
1749230447.0389016,192,108,923,521,1071,516
1749230447.0726943,192,108,923,520,1074,514
1749230447.1015065,192,108,924,522,1074,514
1749230447.1546907,192,108,923,521,1074,514
1749230447.1775115,192,108,923,521,1074,514
1749230447.2147985,192,108,923,520,1073,514
1749230447.2429557,192,108,924,521,1072,516
1749230447.2755103,192,108,923,521,1073,514
1749230447.3048158,192,108,923,520,1080,514
1749230447.337571,192,108,923,520,1071,516
1749230447.3714101,192,108,923,521,1074,515
1749230447.4062998,192,108,924,520,1074,514
1749230447.437566,192,108,923,521,1071,515
1749230447.4673839,192,108,923,521,1080,516
1749230447.499397,192,108,912,522,1071,516
1749230447.5480778,192,108,925,521,1074,514
1749230447.583083,192,108,926,521,1074,514
1749230447.61393,192,108,926,518,1083,515
1749230447.6453695,192,108,926,521,1079,515
1749230447.6776068,192,108,926,521,1083,514
1749230447.7062688,192,108,926,517,1083,514
1749230447.7383373,192,108,936,518,1083,514
1749230447.7701747,192,108,926,518,1083,514
1749230447.8014178,192,108,926,521,1083,515
1749230447.8353229,192,108,936,517,1079,515
1749230447.8666918,192,108,926,517,1083,514
1749230447.9065382,192,108,935,518,1071,519
1749230447.9567084,192,108,936,518,1079,515
1749230447.985479,192,108,936,518,1079,515
1749230448.0150387,192,108,936,517,1079,515
1749230448.050805,192,108,935,518,1083,515
1749230448.0777228,192,108,935,518,1083,514
1749230448.1080067,192,108,935,518,1080,515
1749230448.1447473,192,108,936,519,1083,514
1749230448.1693888,192,108,936,519,1084,515
1749230448.2076983,192,108,936,517,1080,515
1749230448.2393303,192,108,936,518,1080,516
1749230448.2655091,192,108,936,517,1084,515
1749230448.3034213,192,108,936,518,1080,515
1749230448.355856,192,108,936,517,1084,515
1749230448.3800511,192,108,936,517,1080,516
1749230448.4145954,192,108,936,517,1079,515
1749230448.4464302,192,108,936,518,1079,515
1749230448.4805965,192,108,936,518,1083,515
1749230448.509525,192,108,935,518,1079,515
1749230448.5407045,192,108,935,518,1079,516
1749230448.5776618,192,108,935,518,1079,516
1749230448.6054697,192,108,935,518,1080,516
1749230448.6403837,192,108,936,518,1079,515
1749230448.6705487,192,108,936,518,1084,515
1749230448.701222,192,108,936,519,1080,516
