timestamp,target_x,target_y,left_pupil_x,left_pupil_y,right_pupil_x,right_pupil_y
1749233163.2508605,180,100,865,497,1037,477
1749233163.4126916,180,100,864,499,1037,478
1749233163.5574405,180,100,861,499,1028,482
1749233163.7223058,180,100,863,499,1031,476
1749233163.8784435,180,100,860,502,1025,480
1749233164.0286753,180,100,878,498,1025,481
1749233164.2007704,180,100,865,500,1039,480
1749233164.3563612,180,100,865,500,1025,481
1749233164.5120149,180,100,864,501,1043,479
1749233164.677418,180,100,864,504,1036,481
1749233164.8507135,180,100,864,503,1039,483
1749233165.0049858,180,100,866,506,1030,481
1749233165.15685,180,100,866,503,1030,482
1749233165.3185067,180,100,872,504,1026,486
1749233165.4705355,180,100,866,505,1025,486
1749233165.6296897,180,100,878,502,1027,485
1749233165.792568,180,100,866,506,1025,487
1749233165.942996,180,100,865,508,1039,488
1749233166.1054153,180,100,860,506,1025,486
1749233166.2570424,180,100,860,509,1025,492
1749233166.419047,180,100,862,507,1026,489
1749233166.5825772,180,100,872,509,1027,486
1749233166.734565,180,100,861,506,1026,488
1749233166.9005163,180,100,862,507,1026,487
1749233167.0562944,180,100,865,505,1026,486
1749233167.2083972,180,100,866,506,1026,491
1749233167.3672054,180,100,866,504,1026,487
1749233167.528217,960,100,878,503,1030,484
1749233167.6766772,960,100,859,507,1029,485
1749233167.8510292,960,100,870,507,1029,486
1749233168.00726,960,100,870,509,1029,489
1749233168.1617312,960,100,868,510,1029,483
1749233168.3118238,960,100,859,505,1030,483
1749233168.4786882,960,100,870,507,1029,485
1749233168.6450462,960,100,861,505,1029,484
1749233168.800784,960,100,859,507,1027,486
1749233168.9585996,960,100,854,506,1033,484
1749233169.1098692,960,100,855,507,1015,485
1749233169.2669141,960,100,853,506,1021,484
1749233169.432152,960,100,852,508,1020,483
1749233169.5844357,960,100,849,510,1028,486
1749233169.741871,960,100,853,508,1019,485
1749233169.9047728,960,100,855,504,1024,484
1749233170.0621417,960,100,868,505,1027,486
1749233170.2172241,960,100,857,503,1025,487
1749233170.3757553,960,100,865,504,1023,483
1749233170.532803,960,100,863,503,1034,479
1749233170.6916444,960,100,851,505,1029,482
1749233170.8550155,960,100,850,506,1034,480
1749233171.0062673,960,100,849,506,1028,485
1749233171.1635745,960,100,847,507,1026,484
1749233171.3220646,960,100,847,508,1024,483
1749233171.4840312,960,100,863,510,1029,484
1749233171.6505494,960,100,852,508,1031,485
1749233171.8125896,1760,100,865,505,1031,485
1749233171.9591289,1760,100,852,507,1019,488
1749233172.1193664,1760,100,849,505,1031,487
1749233172.2750225,1760,100,852,510,1032,487
1749233172.4281943,1760,100,850,503,1031,486
1749233172.606375,1760,100,847,508,1027,486
1749233172.7589164,1760,100,848,507,1011,489
1749233172.9256513,1760,100,852,509,1030,487
1749233173.078191,1760,100,857,508,1035,489
1749233173.243531,1760,100,854,510,1033,492
1749233173.4048421,1760,100,853,509,1030,486
1749233173.5565422,1760,100,853,511,1032,490
1749233173.7104638,1760,100,865,512,1030,491
1749233173.864359,1760,100,845,502,1023,483
1749233174.0191834,1760,100,845,500,1023,479
1749233174.1754322,1760,100,847,496,1026,479
1749233174.3327732,1760,100,850,495,1029,479
1749233174.4900877,1760,100,852,499,1031,481
1749233174.6506464,1760,100,865,505,1032,489
1749233174.8093078,1760,100,872,504,1036,489
1749233174.9608343,1760,100,871,507,1048,493
1749233175.116669,1760,100,868,504,1046,489
1749233175.282402,1760,100,850,504,1031,488
1749233175.438499,1760,100,862,506,1030,490
1749233175.595207,1760,100,854,508,1029,493
1749233175.7565336,1760,100,857,508,1029,494
1749233175.9113853,1760,100,857,508,1037,491
1749233176.0759046,180,540,857,508,1030,493
1749233176.230159,180,540,849,509,1034,491
1749233176.3840425,180,540,860,508,1027,493
1749233176.5396988,180,540,866,509,1013,495
1749233176.7059605,180,540,867,510,1028,495
1749233176.861806,180,540,867,510,1028,496
1749233177.0134683,180,540,866,510,1014,501
1749233177.1786196,180,540,855,511,1014,496
1749233177.3287098,180,540,853,511,1027,496
1749233177.491723,180,540,852,513,1030,495
1749233177.6509964,180,540,849,523,1021,508
1749233178.274363,180,540,856,519,1032,505
